token1,similarity,token2
teddy_bear,0,frying_pan
teddy_bear,0,cat
teddy_bear,0,sponge_bob
teddy_bear,0,songbird
teddy_bear,0,hedgehog
teddy_bear,0,sheep
teddy_bear,0,bench
teddy_bear,0,turtle
teddy_bear,0,apple
teddy_bear,0,satellite
teddy_bear,0, 
teddy_bear,0,beetle
teddy_bear,0,mouse
teddy_bear,0,shark
teddy_bear,0,swan
teddy_bear,0,crab
teddy_bear,0,ship
teddy_bear,0,walkie_talkie
teddy_bear,0,flower
teddy_bear,0,banana
teddy_bear,0,submarine
teddy_bear,0,scissors
teddy_bear,0,starfish
teddy_bear,0,eyeglasses
teddy_bear,0,knife
teddy_bear,0,cell_phone
teddy_bear,0,wine_bottle
teddy_bear,0,jack_o_lantern
teddy_bear,0,octopus
teddy_bear,0,speed_boat
teddy_bear,0,bulldozer
teddy_bear,0,bear
teddy_bear,0,lobster
teddy_bear,0,basket
teddy_bear,0,window
teddy_bear,0,cabin
teddy_bear,0,parachute
teddy_bear,0,motorcycle
teddy_bear,0,pistol
teddy_bear,0,standing_bird
teddy_bear,0,tiger
teddy_bear,0,flying_bird
teddy_bear,0,saw
teddy_bear,0,penguin
teddy_bear,0,monkey
teddy_bear,0,castle
teddy_bear,0,candle
teddy_bear,0,blimp
teddy_bear,0,seagull
teddy_bear,0,race_car
teddy_bear,0,snail
teddy_bear,0,bus
teddy_bear,0,suv
teddy_bear,0,trombone
teddy_bear,0,armor
teddy_bear,0,elephant
teddy_bear,0,ray
teddy_bear,0,truck
teddy_bear,0,trumpet
teddy_bear,0,cow
teddy_bear,0,shoe
teddy_bear,0,key
teddy_bear,0,train
teddy_bear,0,teapot
teddy_bear,0,raccoon
teddy_bear,0,tractor
teddy_bear,0,skyscraper
teddy_bear,0,cannon
teddy_bear,0,fish
teddy_bear,0,rocket
teddy_bear,0,frog
teddy_bear,0,hat
teddy_bear,0,computer_monitor
teddy_bear,0,flying_saucer
teddy_bear,0,ice_cream_cone
teddy_bear,0,giraffe
teddy_bear,0,pretzel
teddy_bear,0,camel
teddy_bear,0,violin
teddy_bear,0,person_sitting
teddy_bear,0,table
teddy_bear,0,hourglass
teddy_bear,0,hotdog
teddy_bear,0,parrot
teddy_bear,0,fan
teddy_bear,0,umbrella
teddy_bear,0,mushroom
teddy_bear,0,dinosaur
teddy_bear,0,tank
teddy_bear,0,potted_plant
teddy_bear,0,tent
teddy_bear,0,rifle
teddy_bear,0,sword
teddy_bear,0,alarm_clock
teddy_bear,0,cloud
teddy_bear,0,pizza
teddy_bear,0,guitar
teddy_bear,0,harp
teddy_bear,0,bee
teddy_bear,0,toilet
teddy_bear,0,ape
teddy_bear,0,sailboat
teddy_bear,0,space_shuttle
teddy_bear,0,windmill
teddy_bear,0,ant
teddy_bear,0,rooster
teddy_bear,0,rainbow
teddy_bear,0,geyser
teddy_bear,0,person
teddy_bear,0,walking
teddy_bear,0,chair
teddy_bear,0,door
teddy_bear,0,panda
teddy_bear,0,bridge
teddy_bear,0,dolphin
teddy_bear,0,spider
teddy_bear,0,megaphone
teddy_bear,0,owl
teddy_bear,0,cactus
teddy_bear,0,bat
teddy_bear,0,wading_bird
teddy_bear,0,screwdriver
